date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:17:01	35099/35099	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202026%2017:47:01%20GMT	https://www.stanthonygkp.com/content.php?slug=copies-of-valid-water-health-and-sanitation-certificates	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/contentddeb.html	(from https://www.stanthonygkp.com/)
23:17:03	35067/35067	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202026%2017:47:02%20GMT	https://www.stanthonygkp.com/content.php?slug=result-of-last-five-years	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/content4e95.html	(from https://www.stanthonygkp.com/)
23:17:04	35121/35121	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202026%2017:47:03%20GMT	https://www.stanthonygkp.com/content.php?slug=no-objection-certificate-noc-by-the-state-govt-up	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/content876c.html	(from https://www.stanthonygkp.com/)
23:17:05	35129/35129	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202026%2017:47:04%20GMT	https://www.stanthonygkp.com/content.php?slug=societies-trust-company-registration-renewal-certificate	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/contente7ee.html	(from https://www.stanthonygkp.com/)
23:17:06	35149/35149	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202026%2017:47:05%20GMT	https://www.stanthonygkp.com/content.php?slug=affiliation-upgradation-letter-and-recent-extension-of-affiliation	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/contentc00b.html	(from https://www.stanthonygkp.com/)
23:17:07	35059/35059	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202026%2017:47:06%20GMT	https://www.stanthonygkp.com/content.php?slug=school-infrasturcture	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/content6b87.html	(from https://www.stanthonygkp.com/)
23:17:08	35273/35273	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202026%2017:47:07%20GMT	https://www.stanthonygkp.com/content.php?slug=the-deo-certificate-submitted-by-the-school-for-affiliation-upgradation-extension-of-affiliation-or-self-certification-by-school	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/content6740.html	(from https://www.stanthonygkp.com/)
23:17:09	34987/34987	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202026%2017:47:08%20GMT	https://www.stanthonygkp.com/content.php?slug=copy-of-valid-building-safety-certificate-as-per-the-national-building-code-	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/content7d99.html	(from https://www.stanthonygkp.com/)
23:17:10	34979/34979	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202026%2017:47:09%20GMT	https://www.stanthonygkp.com/content.php?slug=copy-of-valid-fire-safety-certificate-issued-by-the-competent-authority-	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/contente873.html	(from https://www.stanthonygkp.com/)
23:17:11	35099/35099	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Aug%202026%2017:47:10%20GMT	https://www.stanthonygkp.com/content.php?slug=list-of-school-management-committee-smc-	/home/ashish-verma/Downloads/stanthony_school/www.stanthonygkp.com/content8a4e.html	(from https://www.stanthonygkp.com/)
